iter	Passed	Remaining
465	719	824
466	719	821
467	720	819
468	721	816
469	722	814
470	723	812
471	725	811
472	726	808
473	727	806
474	727	804
475	728	802
476	729	800
477	730	797
478	731	795
479	732	793
480	733	791
481	734	788
482	735	786
483	735	784
484	736	782
485	737	780
486	738	777
487	739	775
488	740	773
489	741	771
490	741	769
491	742	766
492	743	764
493	744	762
494	745	760
495	746	758
496	747	756
497	748	754
498	749	752
499	750	750
500	751	748
501	751	745
502	752	743
503	753	741
504	754	739
505	754	736
506	755	734
507	756	732
508	757	730
509	758	728
510	758	726
511	759	724
512	760	722
513	761	720
514	762	718
515	763	716
516	764	713
517	764	711
518	765	709
519	766	707
520	767	705
521	768	703
522	769	701
523	770	699
524	771	698
525	772	695
526	772	693
527	773	691
528	774	689
529	775	687
530	775	685
531	776	683
532	777	681
533	778	679
534	779	677
535	780	675
536	781	673
537	781	671
538	782	669
539	783	667
540	784	665
541	785	663
542	786	661
543	786	659
544	787	657
545	788	655
546	789	653
547	790	651
548	791	650
549	792	648
550	793	646
551	794	644
552	795	642
553	796	640
554	796	639
555	797	637
556	798	635
557	799	633
558	800	631
559	801	629
560	802	627
561	802	625
562	803	623
563	804	622
564	805	620
565	806	618
566	807	616
567	808	614
568	809	613
569	810	611
570	811	609
571	812	607
572	813	605
573	814	604
574	815	602
575	816	600
576	817	599
577	818	597
578	819	595
579	820	593
580	821	592
581	821	590
582	822	588
583	823	586
584	824	584
585	825	583
586	826	581
587	827	579
588	827	577
589	828	575
590	829	574
591	830	572
592	831	570
593	832	568
594	832	566
595	833	565
596	834	563
597	835	561
598	836	560
599	837	558
600	838	556
601	839	555
602	840	553
603	841	551
604	842	549
605	843	548
606	843	546
607	844	544
608	845	542
609	846	541
610	847	539
611	847	537
612	848	535
613	849	533
614	850	532
615	850	530
616	851	528
617	852	527
618	853	525
619	854	523
620	855	521
621	855	520
622	857	518
623	858	517
624	859	515
625	860	513
626	860	512
627	861	510
628	862	508
629	863	507
630	864	505
631	865	503
632	865	502
633	866	500
634	867	498
635	868	497
636	869	495
637	870	493
638	870	492
639	871	490
640	872	488
641	873	486
642	874	485
643	874	483
644	875	481
645	876	480
646	877	478
647	878	477
648	878	475
649	879	473
650	881	472
651	882	471
652	884	469
653	884	468
654	885	466
655	886	464
656	887	463
657	888	461
658	888	459
659	889	458
660	890	456
661	891	454
662	891	453
663	892	451
664	893	450
665	894	448
666	895	447
667	896	445
668	897	443
669	898	442
670	898	440
671	899	439
672	900	437
673	901	436
674	902	434
675	904	433
676	904	431
677	906	430
678	906	428
679	907	427
680	908	425
681	909	423
682	910	422
683	910	420
684	911	419
685	912	417
686	913	416
687	914	414
688	915	413
689	916	411
690	916	410
691	917	408
692	918	406
693	919	405
694	920	403
695	921	402
696	921	400
697	922	399
698	923	397
699	924	396
700	925	394
701	926	393
702	927	391
703	928	390
704	928	388
705	929	387
706	930	385
707	931	384
708	932	382
709	932	381
710	933	379
711	934	378
712	935	376
713	936	375
714	937	373
715	937	372
716	938	370
717	939	369
718	940	367
719	941	366
720	942	364
721	942	363
722	943	361
723	944	360
724	945	358
725	946	357
726	947	355
727	948	354
728	949	352
729	950	351
730	950	349
731	951	348
732	952	346
733	953	345
734	954	344
735	955	342
736	955	341
737	956	339
738	957	338
739	958	336
740	959	335
741	960	333
742	960	332
743	961	330
744	962	329
745	963	328
746	964	326
747	965	325
748	966	323
749	966	322
750	967	320
751	968	319
752	969	318
753	970	316
754	971	315
755	972	313
756	973	312
757	974	311
758	975	309
759	976	308
760	976	306
761	977	305
762	978	303
763	979	302
764	980	301
765	981	299
766	982	298
767	982	296
768	983	295
769	984	294
770	985	292
771	986	291
772	987	289
773	988	288
774	988	287
775	989	285
776	990	284
777	991	283
778	992	281
779	993	280
780	994	278
781	995	277
782	996	276
783	997	274
784	998	273
785	999	272
786	1000	270
787	1001	269
788	1002	268
789	1003	266
790	1004	265
791	1005	264
792	1006	262
793	1007	261
794	1007	259
795	1008	258
796	1009	257
797	1010	255
798	1011	254
799	1012	253
800	1012	251
801	1013	250
802	1014	248
803	1015	247
804	1016	246
805	1017	244
806	1018	243
807	1019	242
808	1019	240
809	1020	239
810	1021	238
811	1022	236
812	1023	235
813	1023	233
814	1024	232
815	1025	231
816	1026	229
817	1027	228
818	1028	227
819	1029	225
820	1029	224
821	1030	223
822	1031	221
823	1032	220
824	1033	219
825	1034	217
826	1034	216
827	1036	215
828	1037	214
829	1038	212
830	1039	211
831	1040	210
832	1040	208
833	1041	207
834	1042	206
835	1043	204
836	1044	203
837	1045	202
838	1045	200
839	1046	199
840	1047	198
841	1048	196
842	1049	195
843	1050	194
844	1051	192
845	1052	191
846	1053	190
847	1054	188
848	1054	187
849	1055	186
850	1056	185
851	1057	183
852	1058	182
853	1059	181
854	1060	179
855	1061	178
856	1061	177
857	1062	175
858	1063	174
859	1064	173
860	1065	171
861	1066	170
862	1066	169
863	1067	168
864	1068	166
865	1069	165
866	1070	164
867	1071	162
868	1071	161
869	1072	160
870	1073	159
871	1074	157
872	1075	156
873	1076	155
874	1077	153
875	1078	152
876	1079	151
877	1080	150
878	1081	148
879	1082	147
880	1083	146
881	1083	145
882	1084	143
883	1085	142
884	1086	141
885	1087	139
886	1087	138
887	1088	137
888	1089	136
889	1090	134
890	1091	133
891	1092	132
892	1093	130
893	1094	129
894	1095	128
895	1095	127
896	1096	125
897	1097	124
898	1098	123
899	1099	122
900	1100	120
901	1101	119
902	1101	118
903	1102	117
904	1103	115
905	1104	114
906	1105	113
907	1106	112
908	1107	110
909	1107	109
910	1108	108
911	1109	107
912	1110	105
913	1111	104
914	1112	103
915	1113	102
916	1113	100
917	1114	99
918	1115	98
919	1116	97
920	1117	95
921	1117	94
922	1118	93
923	1119	92
924	1120	90
925	1121	89
926	1122	88
927	1124	87
928	1125	86
929	1126	84
930	1127	83
931	1128	82
932	1128	81
933	1129	79
934	1130	78
935	1131	77
936	1132	76
937	1132	74
938	1133	73
939	1134	72
940	1135	71
941	1136	69
942	1137	68
943	1137	67
944	1138	66
945	1139	65
946	1140	63
947	1141	62
948	1142	61
949	1143	60
950	1143	58
951	1144	57
952	1145	56
953	1146	55
954	1147	54
955	1148	52
956	1149	51
957	1150	50
958	1151	49
959	1152	48
960	1153	46
961	1154	45
962	1154	44
963	1155	43
964	1156	41
965	1157	40
966	1158	39
967	1159	38
968	1159	37
969	1160	35
970	1161	34
971	1162	33
972	1163	32
973	1164	31
974	1165	29
975	1165	28
976	1166	27
977	1167	26
978	1169	25
979	1170	23
980	1171	22
981	1172	21
982	1173	20
983	1174	19
984	1175	17
985	1176	16
986	1176	15
987	1177	14
988	1178	13
989	1179	11
990	1180	10
991	1181	9
992	1182	8
993	1182	7
994	1183	5
995	1184	4
996	1185	3
997	1186	2
998	1187	1
999	1187	0
